Organisation unit name,MFL- County Name,MFL- Facility Code,MFL- Facility Name,MFL- Facility Ownership,MFL- Facility Type,MFL-Coordinates,MFL-District Code,MFL-Facility Operating Status,MFL-Funding Source,MFL-Location,MFL-Region,MFL-Reporting Status
NorweinTimbo District,RiverCess,LBR-36-3606-04,Inland Mission Clinic,Faith Based,Clinic,"[-9.617720,5.681347]",3606,Active,Donor,Rural,South Central Region,Reporting
NorweinTimbo District,RiverCess,LBR-36-3606-05,Open Bible Society Mission Clinic,Faith Based,Clinic,"[-9.618530,5.520130]",3606,Active,Donor,Rural,South Central Region,Reporting
NorweinTimbo District,RiverCess,LBR-36-3606-06,Timbo Compound Clinic,Public,Clinic,"[-9.718930,5.567840]",3606,Active,GOL,Rural,South Central Region,Reporting
NorweinTimbo District,RiverCess,LBR-36-3606-02,Charlie's Town Clinic,Public,Clinic,"[-9.620490,5.663360]",3606,Active,GOL,Rural,South Central Region,Reporting
NorweinTimbo District,RiverCess,LBR-36-3606-01,St Francis Hospital,Public,Hospital,"[-9.580238,5.470344]",3606,Active,GOL,Rural,South Central Region,Reporting
NorweinTimbo District,RiverCess,LBR-36-3606-03,Fen-River Clinic,Public,Clinic,"[-9.631334,5.604217]",3606,Active,GOL,Rural,South Central Region,Reporting
B'Hai District,Grand Gedeh,LBR-15-1514-02,Duogee Clinic,Public,Clinic,"[-8.520930,6.266660]",1514,Active,GOL,Rural,Southeastern A Region,Reporting
B'Hai District,Grand Gedeh,LBR-15-1514-01,B'hai Tarway Town Clinic,Public,Clinic,"[-8.618680,6.439378]",1514,Active,GOL,Rural,Southeastern A Region,Reporting
B'Hai District,Grand Gedeh,LBR-15-1514-03,Toe Town Clinic,Public,Clinic,"[-8.555700,6.409030]",1514,Active,GOL,Rural,Southeastern A Region,Reporting
Barclayville District,Grand Kru,LBR-18-1828-01,Rally Time Hospital,Public,Hospital,"[-8.221880,4.575200]",1828,Active,GOL,Rural,Southeastern B Region,Reporting
Barclayville District,Grand Kru,LBR-18-1828-02,Barclayville Health Center,Public,Health Center,"[-8.232900,4.672340]",1828,Active,GOL,Rural,Southeastern B Region,Reporting
Barclayville District,Grand Kru,LBR-18-1828-03,Gbalakpo Clinic,Public,Clinic,"[-8.157780,4.708610]",1828,Active,GOL,Rural,Southeastern B Region,Reporting
Barclayville District,Grand Kru,LBR-18-1828-04,Gbanken Clinic,Public,Clinic,"[-8.116770,4.632320]",1828,Active,GOL,Rural,Southeastern B Region,Reporting
Barclayville District,Grand Kru,LBR-18-1828-05,Juduken Clinic,Public,Clinic,"[-8.040490,4.607320]",1828,Active,GOL,Rural,Southeastern B Region,Reporting
Barclayville District,Grand Kru,LBR-18-1828-06,Picnicess Clinic,Public,Clinic,"[-8.302490,4.622560]",1828,Active,GOL,Rural,Southeastern B Region,Reporting
Barrobo Farjah District,Maryland,LBR-27-2704-01,Feloken Clinic,Public,Clinic,"[-7.866210,5.067280]",2704,Active,GOL,Rural,Southeastern B Region,Reporting
Barrobo Farjah District,Maryland,LBR-27-2704-02,Gbarwiliken Clinic,Public,Clinic,"[-7.849430,4.990400]",2704,Active,GOL,Rural,Southeastern B Region,Reporting
Barrobo Whojah District,Maryland,LBR-27-2702-02,Juduken Clinic,Public,Clinic,"[-7.943330,5.042500]",2702,Active,GOL,Rural,Southeastern B Region,Reporting
Barrobo Whojah District,Maryland,LBR-27-2702-01,Glofarken Clinic,Public,Clinic,"[-7.897961,4.948739]",2702,Active,GOL,Rural,Southeastern B Region,Reporting
Barrobo Whojah District,Maryland,LBR-27-2702-03,Newaken Clinic,Public,Clinic,"[-7.906850,4.838430]",2702,Active,GOL,Rural,Southeastern B Region,Reporting
Belleh District,Gbarpolu,LBR-45-4504-01,Fasama Clinic (Bade),Public,Clinic,"[-9.999440,7.522220]",4504,Active,GOL,Rural,Northwestern Region,Reporting
Belleh District,Gbarpolu,LBR-45-4504-02,Kondesu Clinic,Public,Clinic,"[-9.987896,7.137683]",4504,Active,GOL,Rural,Northwestern Region,Reporting
Boe & Quilla District,Nimba,LBR-33-3320-02,Graie Clinic,Public,Clinic,"[-8.771040,6.708190]",3320,Active,GOL,Rural,North Central Region,Reporting
Boe & Quilla District,Nimba,LBR-33-3320-01,Bonlay Clinic,Public,Clinic,"[-8.547730,6.823370]",3320,Active,GOL,Rural,North Central Region,Reporting
Boe & Quilla District,Nimba,LBR-33-3320-05,Zuaplay Clinic,Public,Clinic,"[-8.874870,6.741330]",3320,Active,GOL,Rural,North Central Region,Reporting
Boe & Quilla District,Nimba,LBR-33-3320-04,Toweh Town Clinic,Public,Clinic,"[-8.667320,6.794610]",3320,Active,GOL,Rural,North Central Region,Reporting
Boe & Quilla District,Nimba,LBR-33-3320-03,New Yourpea Clinic,Public,Clinic,"[-8.486430,6.725430]",3320,Active,GOL,Rural,North Central Region,Reporting
Boe & Quilla District,Nimba,LBR-33-3320-06,Zuolay Clinic,Public,Clinic,"[-8.791670,6.674720]",3320,Active,GOL,Rural,North Central Region,Reporting
Boe & Quilla District,Nimba,LBR-33-3320-07,Ma Gartay Memorial Clinic,Public,Clinic,"[-8.814167,7.399722]",3320,Active,GOL,Rural,North Central Region,Reporting
Bokomu District,Gbarpolu,LBR-45-4506-02,Gbangay Clinic,Public,Clinic,"[-10.308640,7.184600]",4506,Active,GOL,Rural,Northwestern Region,Reporting
Bokomu District,Gbarpolu,LBR-45-4506-03,Kpayeakwelleh Clinic,Public,Clinic,"[-10.108365,7.667790]",4506,Active,GOL,Rural,Northwestern Region,Reporting
Bokomu District,Gbarpolu,LBR-45-4506-01,Forkpata Clinic,Public,Clinic,"[-10.048102,7.317710]",4506,Active,GOL,Rural,Northwestern Region,Reporting
Bokomu District,Gbarpolu,LBR-45-4506-04,Morlarkwelleh Clinic,Public,Clinic,"[-10.152283,7.189764]",4506,Active,GOL,Rural,Northwestern Region,Reporting
Bopolu District,Gbarpolu,LBR-45-4508-01,Emirates Hospital,Public,Hospital,"[-10.489158,7.058662]",4508,Active,GOL,Urband,Northwestern Region,Reporting
Bopolu District,Gbarpolu,LBR-45-4508-02,Bambuta Clinic,Public,Clinic,"[-10.545160,6.955590]",4508,Active,GOL,Rural,Northwestern Region,Reporting
Bopolu District,Gbarpolu,LBR-45-4508-03,Gbaryamah Clinic,Public,Clinic,"[-10.626980,7.021780]",4508,Active,GOL,Rural,Northwestern Region,Reporting
Bopolu District,Gbarpolu,LBR-45-4508-04,Gokallah Clinic,Public,Clinic,"[-10.632780,6.927860]",4508,Active,GOL,Rural,Northwestern Region,Reporting
Bopolu District,Gbarpolu,LBR-45-4508-05,Henry Town Clinic,Public,Clinic,"[-10.351050,7.268500]",4508,Active,GOL,Rural,Northwestern Region,Reporting
Bopolu District,Gbarpolu,LBR-45-4508-06,Totoquelle Clinic,Public,Clinic,"[-10.401650,7.051680]",4508,Active,GOL,Rural,Northwestern Region,Reporting
Buah District,Grand Kru,LBR-18-1822-01,Buah Health Center,Public,Health Center,"[-8.166020,4.943810]",1822,Active,GOL,Rural,Southeastern B Region,Reporting
Buah District,Grand Kru,LBR-18-1822-02,Dwehkun Clinic,Public,Clinic,"[-8.098895,5.057303]",1822,Active,GOL,Rural,Southeastern B Region,Reporting
Buah District,Grand Kru,LBR-18-1822-03,Ponnoken Clinic,Public,Clinic,"[-8.185112,5.079180]",1822,Active,GOL,Rural,Southeastern B Region,Reporting
Buah District,Grand Kru,LBR-18-1822-04,Tarlu Clinic,Public,Clinic,"[-8.195025,4.918565]",1822,Active,GOL,Rural,Southeastern B Region,Reporting
Buchanan District,Grand Bassa,LBR-09-0912-15,Well Baby,Public,Clinic,"[-10.034220,5.885330]",0912,Active,GOL,Rural,South Central Region,Reporting
Buchanan District,Grand Bassa,LBR-09-0912-08,Camphor Mission Clinic,Faith Based,Clinic,"[-9.914870,5.918400]",0912,Active,Donor,Rural,South Central Region,Reporting
Buchanan District,Grand Bassa,LBR-09-0912-01,Liberia Government Hospital (Buchanan),Public,Hospital,"[-10.045990,5.884250]",0912,Active,GOL,Urband,South Central Region,Reporting
Buchanan District,Grand Bassa,LBR-09-0912-09,Christian Extension Ministry Clinic,Faith Based,Clinic,"[-10.042250,5.879140]",0912,Active,Donor,Urband,South Central Region,Reporting
Bushrod District,Montserrado,LBR-30-3010-35,Graystone Clinic,Private,Clinic,"[-10.810430,6.317630]",3010,Active,Private,Urband,South Central Region,Reporting
Buchanan District,Grand Bassa,LBR-09-0912-02,Steven Tolbert Memorial Hospital (ArcelorMittal),Concession,Hospital,"[-10.027500,5.871030]",0912,Active,Donor,Urband,South Central Region,Reporting
Buchanan District,Grand Bassa,LBR-09-0912-12,Praise Medico Surgical Clinic,Private,Clinic,"[-10.050926,5.877646]",0912,Active,Private,Urband,South Central Region,Reporting
Buchanan District,Grand Bassa,LBR-09-0912-13,Samuel David Medical Clinic (SDMC),Private,Clinic,"[-10.039644,5.884200]",0912,Active,Private,Urband,South Central Region,Reporting
Buchanan District,Grand Bassa,LBR-09-0912-03,St Peter Claver Catholic Health Center,Faith Based,Health Center,"[-10.042460,5.877340]",0912,Active,Donor,Urband,South Central Region,Reporting
Buchanan District,Grand Bassa,LBR-09-0912-05,African Christian Fellowship International Clinic,Faith Based,Clinic,"[-10.024140,5.896840]",0912,Active,Donor,Urband,South Central Region,Reporting
Buchanan District,Grand Bassa,LBR-09-0912-14,Tubmanville Clinic,Public,Clinic,"[-9.900470,6.007620]",0912,Active,GOL,Rural,South Central Region,Reporting
Buchanan District,Grand Bassa,LBR-09-0912-04,Barconnie Clinic,Public,Clinic,"[-10.003457,5.813270]",0912,Active,GOL,Rural,South Central Region,Reporting
